Date,Open,High,Low,Close,Volume,Adj Close
2015-10-28,59.18,65.10,59.16,61.36,6371200,61.36
2015-10-27,60.00,60.00,57.51,59.29,3053400,59.29
2015-10-26,61.85,62.50,59.50,60.15,2173400,60.15
2015-10-23,59.10,61.50,58.92,60.69,2716700,60.69
2015-10-22,56.18,59.98,56.18,58.74,2241100,58.74
2015-10-21,61.87,62.45,56.10,56.16,2833900,56.16
2015-10-20,58.40,62.89,58.40,62.33,2922200,62.33
2015-10-19,61.40,61.40,58.00,58.91,3396400,58.91
2015-10-16,60.64,63.05,60.64,60.92,4195800,60.92
2015-10-15,57.80,63.16,57.27,61.36,4162300,61.36
2015-10-14,57.98,60.12,57.01,57.75,5092800,57.75
2015-10-13,53.02,58.36,53.00,58.36,6799000,58.36
2015-10-12,51.17,54.08,51.17,53.05,3411600,53.05
2015-10-09,50.99,51.98,50.20,51.03,1827900,51.03
2015-10-08,51.64,52.38,50.58,51.20,1811100,51.20
2015-10-07,50.44,50.44,50.44,50.44,000,50.44
2015-10-06,50.44,50.44,50.44,50.44,000,50.44
2015-10-05,50.44,50.44,50.44,50.44,000,50.44
2015-10-02,50.44,50.44,50.44,50.44,000,50.44
2015-10-01,50.44,50.44,50.44,50.44,000,50.44
2015-09-30,49.70,51.10,49.14,50.44,1434400,50.44
2015-09-29,49.64,50.60,48.45,49.40,1484100,49.40
2015-09-28,48.02,48.02,48.02,48.02,000,48.02
2015-09-25,50.10,50.10,47.30,48.02,912400,48.02
2015-09-24,50.09,50.50,49.39,49.84,1172300,49.84
2015-09-23,49.39,50.60,48.90,49.78,1732500,49.78
2015-09-22,50.20,51.41,49.50,50.01,2116900,50.01
2015-09-21,48.30,50.97,47.82,50.67,2762200,50.67
2015-09-18,47.95,49.08,47.48,48.53,1756300,48.53
2015-09-17,49.70,49.99,47.40,47.95,3282000,47.95
2015-09-16,46.18,50.51,45.51,49.76,2842400,49.76
2015-09-15,44.86,47.53,44.01,46.10,2967200,46.10
2015-09-14,49.16,49.80,45.18,45.26,2529000,45.26
2015-09-11,48.38,49.19,47.67,48.47,1645400,48.47
2015-09-10,47.39,49.73,46.97,47.75,2678400,47.75
2015-09-09,46.88,49.54,46.30,48.32,3721400,48.32
2015-09-08,43.11,46.50,43.11,46.20,3040700,46.20
2015-09-07,44.00,45.45,42.80,43.66,1975400,43.66
2015-09-04,42.85,42.85,42.85,42.85,000,42.85
2015-09-03,42.85,42.85,42.85,42.85,000,42.85
2015-09-02,41.13,45.50,41.08,42.85,3139100,42.85
2015-09-01,47.00,47.05,43.35,43.72,3154600,43.72
2015-08-31,50.00,50.95,48.00,48.05,3039800,48.05
2015-08-28,49.00,52.10,47.70,51.29,5980300,51.29
2015-08-27,45.94,48.62,45.61,48.62,7431500,48.62
2015-08-26,44.00,47.18,42.30,44.20,6777600,44.20
2015-08-25,43.18,48.18,43.14,43.14,6351400,43.14
2015-08-24,50.00,50.78,47.93,47.93,6190700,47.93
2015-08-21,55.42,57.28,53.00,53.26,4318000,53.26
2015-08-20,59.85,60.80,56.78,56.81,5332400,56.81
2015-08-19,59.00,61.25,56.05,60.41,5292100,60.41
2015-08-18,64.80,64.88,58.79,60.35,8134300,60.35
2015-08-17,64.40,65.98,62.35,65.32,6663000,65.32
2015-08-14,66.06,66.06,63.63,63.87,8163800,63.87
2015-08-13,59.89,66.50,59.50,66.05,12150200,66.05
2015-08-12,59.50,63.26,58.70,60.71,9668400,60.71
2015-08-11,63.00,65.71,60.70,61.67,10503200,61.67
2015-08-10,60.13,63.70,60.03,63.23,9417600,63.23
2015-08-07,58.50,60.00,58.01,59.00,6358700,59.00
2015-08-06,57.95,59.24,56.80,57.25,5772300,57.25
2015-08-05,62.00,63.00,58.80,59.25,10324100,59.25
2015-08-04,58.00,62.59,55.80,62.17,11052300,62.17
2015-08-03,60.25,61.98,54.55,57.01,11038600,57.01
2015-07-31,63.20,64.85,58.89,60.28,10073300,60.28
2015-07-30,67.00,70.00,63.00,64.89,13737200,64.89
